id,sentence,snippets,target,sentiment_score,aspects
1,Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,['Slowly adding some $FIO here but gotta be careful'],FIO,0.459,['Stock/Price Action/Bullish/Bull Position']
2,$TRX http://stks.co/1KkK Long setup. MACD cross.,['Long setup. MACD cross.'],TRX,0.438,['Stock/Technical Analysis']
3,I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,['both fundementals and charts look like poopoo this quarter.'],AMZN,-0.506,['Stock/Price Action/Bearish']
4,$GRPN might be selling off ahead of $P earnings...,['might be selling off ahead'],P,-0.202,['Stock/Price Action/Bearish/Bearish Behavior']
5,$IACI http://stks.co/tJU Looks good on the weekly chart.,['Looks good on the weekly chart.'],IACI,0.379,['Stock/Technical Analysis']
6,"$pcln back over ""up"" trendline from 10/4","['back over ""up"" trendline']",PCLN,0.308,['Stock/Price Action/Bullish']
7,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,['A close above here is looking good for the bulls'],NFLX,0.578,['Stock/Price Action/Bullish/Bullish Behavior']
8,Profit taking on $AAPL this morning?  That has to be the pressure on the stock.  I'm still bullish on $AAPL.,['That has to be the pressure on the stock'],AAPL,0.222,['Stock/Price Action/Bearish']
9,$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,['Stock price implies you pay nothing for the business'],SKX,0.298,['Stock/Price Action/Bullish']
10,$MOS looking good here at $58.65. Calls are active in this month and weekly,['Calls are active in this month and weekly'],MOS,0.492,['Stock/Options/Strategies']
11,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",['Letting the calls ride solo now'],TZA,0.385,['Stock/Options/Strategies']
12,$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,['Long setup. Closed above the 20MA. MACD cross. November catalyst.'],YMI,0.444,['Stock/Price Action/Bullish']
13,$TZOO a close above 28.64 and we are ready to rock and roll,['a close above 28.64 and we are ready to rock and roll'],TZOO,0.308,['Stock/Price Action/Bullish']
14,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.","[""I'm liking the price action""]",SWKS,0.603,['Stock/Price Action']
15,$WFT closng higher from here,['closng higher from here'],WFT,0.48,['Stock/Price Action/Bullish/Bullish Behavior']
16,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,['I want this to break a new 52week'],SPPI,0.601,['Stock/Price Action/Bullish']
17,$SPY bull move ended waiting for next setup,['bull move ended'],SPY,-0.204,['Stock/Price Action/Bearish']
18,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,['Double bottom with handle buy point'],IP,0.446,['Stock/Technical Analysis']
19,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",['though RSI and Stoch'],GLD,0.176,['Stock/Technical Analysis']
20,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,['Downside breakout looks to be coming soon'],ACOM,-0.536,['Stock/Price Action/Bearish']
21,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,['Target $15 plus on a close over $13.50 on better than avg daily Volume'],ZAGG,0.385,['Stock/Price Action/Bullish']
22,volatility squeeze in $AAPL. I hope it gets resolved to the upside,['volatility squeeze'],AAPL,0.042,['Market/Volatility]
23,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",['Still short $LNG from $11.70 area...next stop could be down through $9.00.'],LNG,-0.543,['Stock/Price Action/Volatility/Short Selling']
24,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,['Covered my small $MWW short'],MWW,0.348,['Stock/Price Action/Bullish/Bullish Behavior']
