id,original_sentence,attack_sentence,sentiment
1,"Cardona slowed her vehicle , turned [[around]] and [[returned]] to the intersection , where she called 911","Cardona slowed her vehicle , turned [[roughly]] and [[reverting]] to the intersection , where she called 911",2
2,"Both [[operating]] [[profit]] and net sales for the three-month [[period]] [[increased]] , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006","Both [[operations]] [[revenues]] and net sales for the three-month [[calendar]] [[hiked]] , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006",0
3,"Tampere Science Parks is a Finnish company that owns , [[leases]] and [[builds]] office properties and it [[specialises]] in [[facilities]] for technology-oriented [[businesses]]","Tampere Science Parks is a Finnish company that owns , [[lease]] and [[construct]] office properties and it [[excels]] in [[facility]] for technology-oriented [[enterprise]]",2
4,The real estate company posted a net [[loss]] of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net [[profit]] of +[[ó]]  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,The real estate company posted a net [[losing]] of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net [[gains]] of +[[ñ]]  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,1
5,The Oxyview Pulse Oximeter is a common device to [[check]] [[patient]] blood-oxygen saturation [[level]] and pulse [[rate]],The Oxyview Pulse Oximeter is a common device to [[cheques]] [[ailing]] blood-oxygen saturation [[tier]] and pulse [[accelerates]],2
6,"Componenta has [[production]] [[lines]] for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007","Componenta has [[fruitful]] [[pipelines]] for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007",2
7,"The EU Commission said earlier it had [[fined]] ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 [[mln]] eur for alleged cartel activity in the lift [[market]] [[going]] back twelve years","The EU Commission said earlier it had [[fina]] ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 [[trillions]] eur for alleged cartel activity in the lift [[marketed]] [[go]] back twelve years",1
8,"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , [[grew]] by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009","The company 's scheduled traffic , measured in revenue passenger kilometres RPK , [[widen]] by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009",0
9,Le Lay succeeds [[Walter]] G++nter and will be [[based]] in Finland,Le Lay succeeds [[Faltering]] G++nter and will be [[groundwork]] in Finland,2
10,"[[The]] offer price is $ 35 million , [[including]] [[cash]] of $ 10 [[million]] as net [[debt]] assumption of [[FACE]] , and $ 20 million worth of Cencorp shares to be issued to Savcor","[[Du]] offer price is $ 35 million , [[implicating]] [[cashier]] of $ 10 [[trillions]] as net [[borrowers]] assumption of [[FACES]] , and $ 20 million worth of Cencorp shares to be issued to Savcor",2
11,The [[acquisition]] is [[expected]] to [[take]] place by the end of August 2007,The [[buying]] is [[hoped]] to [[pick]] place by the end of August 2007,2
12,Pretax profit [[rose]] to [[EUR]] 17.8 mn from [[EUR]] 14.9 mn in 2005,Pretax profit [[rebounds]] to [[EURO]] 17.8 mn from [[EURO]] 14.9 mn in 2005,0
13,"[[After]] the [[sale]] , Savcor Group Ltd will [[comprise]] Savcor ART , a [[corporate]] [[function]] and an investment in Cencorp Corporation","[[Subsequent]] the [[resale]] , Savcor Group Ltd will [[which]] Savcor ART , a [[enterprising]] [[role]] and an investment in Cencorp Corporation",2
14,"An  of the [[invention]] , [[released]] by the [[Patent]] Office , [[said]] : `` A non-coherent search matrix is [[formed]] of [[said]] correlation [[function]] matrix","An  of the [[inventiveness]] , [[liberating]] by the [[Brevet]] Office , [[avowed]] : `` A non-coherent search matrix is [[forming]] of [[assured]] correlation [[functioning]] matrix",2
15,"As such , the space has [[blond]] wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe","As such , the space has [[pallid]] wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe",2
16,"Ramirent 's net [[sales]] in the [[second]] quarterended [[June]] 30 were EURO 128.7 million about U.S. $ 163 [[million]] , a 3.3-percent [[increase]] [[compared]] with EURO 124.6 million for thesecond quarter last [[year]]","Ramirent 's net [[selling]] in the [[secs]] quarterended [[October]] 30 were EURO 128.7 million about U.S. $ 163 [[trillion]] , a 3.3-percent [[soar]] [[compares]] with EURO 124.6 million for thesecond quarter last [[yearly]]",0
17,"Citigroup , Inc ( NYSE : C ) has [[announced]] that its Global Transaction Services ( GTS ) business has been [[awarded]] a new [[mandate]] by Finland-based Pohjola Bank Group","Citigroup , Inc ( NYSE : C ) has [[announcing]] that its Global Transaction Services ( GTS ) business has been [[ascribed]] a new [[mandated]] by Finland-based Pohjola Bank Group",0
