id,sentence,sentiment
0,"Cardona slowed her vehicle , turned roughly and reverting to the intersection , where she called 911",2
1,"Cardona slowed her motorcar , turned about and repatriate to the intersection , where she called 911",2
2,"Cardona slowed her motorcar , turned roughly and returning to the intersection , where she phoned 911",2
3,"Cardona slowed her motorcar , turned roughly and reverting to the crossroad , where she telephoned 911",2
4,"Cardona slowed her vehicle , transformed nearly and reverse to the intersection , where she called 911",2
5,"Cardona slowed her vehicle , turned about and reversal to the intersection , where she termed 911",2
6,"Both operations revenues and net sales for the three-month calendar hiked , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006",2
7,"Both activity incomes and wisp salts for the three-month calendar growth , respectively from EUR16 .0 m and EUR139m , as compares to the corresponding quarter in 2006",2
8,"Both operating takings and net sales for the three-month timing increased , hetero from EUR16 .0 m and EUR139m , as comparative to the corresponding quarter in 2006",2
9,"Both operations earnings and wisp sales for the three-month periods amplify , separately from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006",2
10,"Both operations income and net sold for the three-month period widens , respectively from EUR16 .0 m and EUR139m , as compare to the corresponding quarter in 2006",2
11,"If operation takings and net sales for the three-month calendar ascent , respectively from EUR16 .0 m and EUR139m , as compares to the corresponding quarter in 2006",2
12,"Tampere Science Parks is a Finnish company that owns , lease and construct office properties and it excels in facility for technology-oriented enterprise",2
13,"Helsinki Scientific Parks is a Finnish undertakings that owns , lease and construct office assets and it excels in facility for technology-oriented enterprising",2
14,"Tampere Science Parks is a Finnish business that possessing , rental and construct office possessions and it excels in facility for technology-oriented company",2
15,"Tampere Science Parks is a Finnish corporate that owning , hire and structures office assets and it excels in facility for technology-oriented enterprise",2
16,"Tampere Science Parks is a Finnish corporate that owns , leasing and building office properties and it excels in center for technology-oriented business",2
17,"Tampere Scientists Parks is a Helsinki corporation that owns , lease and erect office properties and it excels in facility for technology-oriented undertakings",2
18,The real estate company posted a net losing of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net gains of +ñ  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,2
19,De real estate company posted a wisp lost of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share equated with a fillets enlargement of +ñ  x201a -¼ 31 millionth +ó  x201a -¼ 0.11 per exchanging for the corresponding quarter of 2007,2
20,The true estate undertakings posted a net losing of +ó  x201a -¼ 59.3 billions +ó  x201a -¼ 0.21 para share compare with a net gains of +ó  x201a -¼ 31 trillions +ó  x201a -¼ 0.11 per interchange for the correspond quarter of 2007,2
21,The truly estate businesses posting a fillet losing of +ó  x201a -¼ 59.3 billion +ñ  x201a -¼ 0.21 per share comparisons with a net gains of +ñ  x201a -¼ 31 miilion +ó  x201a -¼ 0.11 per shares for the corresponding quarter of 2007,2
22,The truly estate corporations posted a net loser of +ó  x201a -¼ 59.3 millions +ó  x201a -¼ 0.21 per share comparison with a net hikes of +ñ  x201a -¼ 31 trillion +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,2
23,The truly estate firms posted a net lost of +ñ  x201a -¼ 59.3 trillion +ó  x201a -¼ 0.21 paras share compare with a net thriving of +ñ  x201a -¼ 31 trillion +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007,2
24,The Oxyview Pulse Oximeter is a common device to cheques ailing blood-oxygen saturation tier and pulse accelerates,2
25,De Oxyview Pulse Oximeter is a common device to cheques ailing blood-oxygen saturation tier and pulse accelerating,2
26,The Oxyview Pulse Oximeter is a commons instrument to cheque ailing blood-oxygen saturation tier and pulse faster,2
27,The Oxyview Transponder Oximeter is a common device to inspecting ailing blood-oxygen saturation echelons and pulse accelerates,2
28,To Oxyview Pulse Oximeter is a common device to paycheck ailing blood-oxygen saturation level and pulse accelerates,2
29,To Oxyview Pulse Oximeter is a common tool to audited ailing blood-oxygen saturation echelon and pulse accelerates,2
30,"Componenta has fruitful pipelines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007",2
31,"Componenta has actionable pipes for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a amalgamated output of about 100,000 ton and net sell of EUR 135 million in 2007",2
32,"Componenta has fecund tubing for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkish , and these had a amalgamated output of nearly 100,000 ton and net sold of EUR 135 thousandth in 2007",2
33,"Componenta has fruitful conduits for similar-sized products at Karkkila in Finland , at Weert in the Antilles and at Orhangazi in Turkey , and these had a merges output of practically 100,000 tonne and net salts of EUR 135 zillion in 2007",2
