	text	label
347	2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m 	negative
479	Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work 	positive
2202	Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn 	negative
1104	The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue 	neutral
1869	Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 	negative
862	Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 	positive
1134	`` It wo n't happen overnight 	neutral
1639	From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth 	neutral
2019	Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ?	negative
1619	Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes 	neutral
982	Incap Corporation Stock Exchange Announcement 29 April 2010 at 1 p.m. INVITATION TO A NEWS CONFERENCE ON INCAP 'S INTERIM REPORT Q1-2010 Incap will publish its interim report for January-March 2010 on Wednesday , 5 May 2010 	neutral
2041	The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue 	negative
242	Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn 	positive
559	Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares 	neutral
2042	The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today 	negative
1260	In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries 	neutral
189	Revenues at the same time grew 14 percent to 43 million euros 	positive
1576	- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million 	neutral
24	Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % 	positive
1583	`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said 	neutral
1355	Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform 	neutral
243	Profit per share was EUR 1.03 , up from EUR 0.87 	positive
278	Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float 	neutral
984	Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland 	neutral
2070	Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route 	negative
468	Productional situation has now improved 	positive
1617	Curators have divided their material into eight themes 	neutral
567	It will provide heating in the form of hot water for the sawmill 's needs 	neutral
167	Operating profit rose to EUR 4.7 mn from EUR 4.6 mn 	positive
1164	Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full 	neutral
1629	Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital 	neutral
2139	Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 	negative
213	Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 	positive
691	The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors 	neutral
1338	Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml 	neutral
318	a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share 	positive
1890	Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 	negative
930	All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 	neutral
1500	The sale price was not disclosed 	neutral
1246	In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx 	neutral
1644	In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees 	neutral
131	Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres 	positive
1173	Aspo 's Group structure and business operations are continually developed without any predefined schedules 	neutral
1421	The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect 	neutral
348	( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from 	negative
560	Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms 	neutral
1064	The contract involves refurbishing the bathrooms of 189 units as well as re-plumbing their water and sewer pipes 	neutral
136	In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m 	positive
2080	Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing 	negative
1221	Financial details were n't disclosed 	neutral
141	Its market share widened to 48.51 percent from 48.31 percent a year earlier 	positive
332	Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago 	positive
771	Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries 	neutral
584	Previously , the plant was expected to be completed by the end of 2008 	neutral
139	In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth 	positive
410	The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 	positive
1706	Renesas Mobile Europe Ltd has approximately 470 employees in Oulu 	neutral
1477	The passenger tunnel is expected to be put into operation in 2009 	neutral
1876	Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 	negative
1676	Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles 	neutral
214	Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25 	positive
90	Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 	positive
1418	The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP 	neutral
1065	The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says 	neutral
1443	The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom 	neutral
1822	The terms of the transactions remained undisclosed 	neutral
388	Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 	positive
1838	The value of the deal was not disclosed 	neutral
216	Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology 	positive
1883	Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 	negative
1047	The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills 	neutral
1038	The acquisition price was not disclosed 	neutral
1363	Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore 	neutral
1698	Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 	neutral
755	According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels 	neutral
1858	Why not subscribe to the magazine 	neutral
1946	Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up 	neutral
1835	The value of the contract is in total USD12m 	neutral
1337	Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products 	neutral
1677	Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group 	neutral
1297	Mercator will use the software for its logistic , retail and wholesale operations in Slovenia and its other markets in southeastern Europe 	neutral
344	The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 	positive
1809	The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 	neutral
1688	No service pricing details were disclosed 	neutral
1035	Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas 	neutral
358	Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago 	negative
612	The Extraordinary General Meeting is expected to take place no later than 18 February 2011 	neutral
2154	Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 	negative
2194	In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % 	negative
1689	Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights 	neutral
2172	SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales 	negative
856	2010 16 July 2010 - Finnish steel maker Rautaruukki Oyj HEL : RTRKS , or Ruukki , said today it turned to a net profit of EUR20m in the second quarter of 2010 from a net loss of EUR94m in the corresponding period last year 	positive
1787	The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 	neutral
1685	No financial details of the deployment were disclosed 	neutral
1683	Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results 	neutral
2245	Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 	negative
217	EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur 	positive
697	The deal was worth about EUR 1.2 mn 	neutral
2016	Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 	negative
1560	Upon establishment , the plan is directed to approximately 20 persons 	neutral
2126	Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 	negative
876	Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 	positive
237	Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 	positive
1009	PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 	neutral
1679	Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec 	neutral
1466	The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia 	neutral
1190	Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process 	neutral
1777	The executive said that countries such as Brazil , Chile , Argentina and Mexico will lead the adoption in the business Ethernet services segment , while Brazil and Mexico will be the early adopters of carrier Ethernet for mobile backhaul 	neutral
1569	With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline 	neutral
1117	Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services 	neutral
460	Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company 	positive
218	EPS grew to 0.04 eur from 0.02 eur 	positive
87	At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 	positive
1628	EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn 	neutral
1643	In 2007 , Etteplan had turnover of EUR125 .2 m	neutral
1872	According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 	negative
2065	`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland 	neutral
1099	The output of the contracts totals 72 MWe 	neutral
350	The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million 	negative
2171	Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier 	negative
624	The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players 	neutral
861	EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 	positive
58	In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 	positive
2083	Ruukki Group calculates that it has lost EUR 4mn in the failed project 	negative
1977	The negotiations will concern the plant 's department producing winded roving that employs 10 people 	neutral
1860	With the new arrangement , customer responsibilities will become mainly regional 	neutral
2010	Unbelievably , the company that makes them - Fiskars Corporation - was formed in 1649 when a Dutch merchant named Peter Thorwoste was given a charter to establish a blast furnace and forging operation in the small Finnish village of Fiskars 	neutral
2064	29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow 	positive
1149	According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn 	neutral
284	The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 	neutral
1819	The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million 	neutral
843	Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously 	positive
