id,sentence,sentiment
0,"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 ",2
1,"Cardona slowed her autos , turned around and comeback to the intersecting , where she called 911 ",2
2,"Cardona slowed her car , turned around and repatriate to the intersecting , where she called 911 ",2
3,"Cardona slowed her motors , turned nigh and repatriated to the intersection , where she called 911 ",2
4,"Cardona slowed her vehicle , convert around and returned to the intersection , where she called 911 ",2
5,"Cardona slowed her vehicle , revolved about and ballon to the intersection , where she called 911 ",2
6,Market data and analytics are derived from primary and secondary research ,2
7,Market data and analytics are derived from primary and secondary inquiries ,2
8,Markets data and analytics are derived from elementary and secondary looking ,2
9,Trade data and analytics are derived from primary and secondary investigations ,2
10,Traded data and analytics are derived from primary and secondhand research ,2
11,Traded particulars and analytics are derived from elemental and secondary research ,2
12,Exel is headquartered in Mantyharju in Finland ,2
13,Exel is headquartered in Mantyharju in Finland ,2
14,Exel is headquartered in Mantyharju in Finland ,2
15,Exel is headquartered in Mantyharju in Finn ,2
16,Exel is headquartered in Mantyharju in Finns ,2
17,Exel is headquartered in Mantyharju in Helsinki ,2
18,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 ",0
19,"Both operandi benefit and netted sales for the three-month calendar leapt , respectively from EUR16 .0 m and EUR139m , as comparison to the corresponding quarter in 2006 ",0
20,"Both operandi dividend and tenderloin sales for the three-month dates increased , consecutively from EUR16 .0 m and EUR139m , as comparisons to the corresponding quarter in 2006 ",0
21,"Both operating obtaining and net sales for the three-month deadline rising , separately from EUR16 .0 m and EUR139m , as compares to the corresponding quarter in 2006 ",0
22,"Both operation profit and filet sales for the three-month timing rebounds , respectively from EUR16 .0 m and EUR139m , as versus to the corresponding quarter in 2006 ",0
23,"Both operation profit and wisp salts for the three-month period cultured , respectively from EUR16 .0 m and EUR139m , as comparative to the corresponding quarter in 2006 ",0
24,"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses ",2
25,"Helsinki Science Parks is a Finnish company that owns , renting and builds office properties and it specialises in centers for technology-oriented societies ",2
26,"Tampere Science Parks is a Finnish company that owns , rental and construct office possessions and it specializing in facilities for technology-oriented undertakings ",2
27,"Tampere Scientifically Parks is a Finnish business that owning , leases and builds office properties and it specialises in establishments for technology-oriented enterprise ",2
