	text	label
2138	+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor 	neutral
2051	The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting 	neutral
2504	The sellers were EOSS Innovationsmanagement and a group of private individuals 	neutral
2604	BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million 	neutral
3111	Sanoma News ' advertising sales decreased by 22 % during the year 	negative
1262	Turnover rose to EUR21m from EUR17m 	positive
2909	The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 	negative
1877	Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year 	positive
2809	The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 	neutral
1305	Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 	neutral
2831	The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses 	neutral
1106	Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 	positive
149	Below are unaudited solidified outcome for Aspocomp Group under IFRS reporting standards 	neutral
3050	EPS dropped to EUR0 .2 from EUR0 .3 	negative
2677	Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group 	neutral
363	The rationalization of the operandi tempted to achieve over EUR 1 million in yearly saved as from the second quarter of the current financed year 	positive
2765	The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail 	neutral
2888	Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period 	negative
861	Operating profit falling to nearly EUR 1.7 mn , nonetheless 	negative
594	Into 2008 , AVC Systemhaus had tenderloin sales of EUR 10 miilion USD 7.1 m 	neutral
1422	Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted 	positive
85	Le Lay succeeds Walter grams++nter and will be footing in Finland 	neutral
2103	The platform is based built on Intel s second-generation MID platform , called Moorestown 	neutral
1490	At CapMan Haavisto will be responsible for Group Finances and Accounting and IT 	neutral
3031	Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia 	negative
2106	The purchase sum is about EUR 10mn US$ 12.97 mn 	neutral
2773	The equipment will be made at Vaahto 's plant in Hollola in Finland , and delivery is scheduled for the first quarter of 2009 	neutral
2951	Less than ten people will face pension agreements 	neutral
2020	Saunalahti is a part of the Elisa group 	neutral
2162	Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy 	neutral
2750	The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group 	neutral
1377	As a result , the company currently anticipates net sales to increase and the operating result to be positive 	positive
3021	Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 	negative
2652	In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well 	neutral
317	Locals access to the blocking is prophecies to be from Aleksandri Street 	neutral
2656	In the Czech Republic , the profiling unit at Ostrava will be closed and the machinery will be relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 	neutral
802	Filet sales broadened by 18.5 % to EUR167 .8 m. Teleste asserted that EUR20 .4 m , or 12.2 % , of the sell happened from the acquisitions made in 2009 	positive
2749	The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities 	neutral
2576	- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million 	neutral
3214	Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 	negative
2170	As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 	neutral
1968	Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported 	neutral
859	Exploitation dividend excluding non-recurring items grow by 27 % to EUR 81.9 mn from EUR 64.4 min in the corresponding duration in 2008 	positive
846	Throughout the Baltic states the venture reports net sales of EUR 11.9 mn , down from EUR 14.2 minneapolis , and an function EBIT of EUR -2.2 minnesota , down from EUROS -1.7 minnesota 	negative
1840	Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 	positive
2477	The passenger tunnel is expected to be put into operation in 2009 	neutral
536	Financial Statements comprises the consolidated monies statements of the Clustered , the Board of Directors ' Report , the Auditors ' Report and the Ventures Govern Statement 	neutral
2255	In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 	neutral
1254	The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier 	positive
1760	The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds 	neutral
2110	The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares 	neutral
3052	The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years 	negative
969	According to Norse Line 's Managing Superintendent , Nils-Erik Eklund , the societal 's Board of Directors is very thrilled with Viking Linea 's performance 	positive
1022	10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout 	positive
2279	Jeder Beta-Tester erh+ñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Âglichkeit , die finale Version zu beeinflussen 	neutral
2137	`` We know there are some of our own people out there . '	neutral
1828	It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 	positive
627	Marathon reckoning the value of its surplus stake in Protalix at $ 27 million 	neutral
1277	Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories 	neutral
388	Sportsmen equipment sales apart progressed well owing to the lange winter season 	positive
1832	M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 	positive
1806	Net sales revenue per passenger is expected to increase 	positive
2798	The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO 	neutral
2554	Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. 	neutral
265	Insurance policies should be uncomplicated 	neutral
3115	Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier 	negative
1800	Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said 	positive
315	During the begin of the subscription period on May 2 , 2006 the share subscriptions price under B alternate right is EUR 10.22 paras share 	neutral
652	Users include hotels and grocery as well as wholesalers and some vendor 	neutral
69	Subscription of China Unicom , the nationals 's second greater mobile phone operator after China Mobile , are expected to liberated stills , video and blog on the Internet via laptop phones as of March 2008 	neutral
2498	The report will be emailed within 2 business days of an order 	neutral
1166	Operating profit rose to EUR 4.7 mn from EUR 3.6 mn 	positive
1090	Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 	positive
3048	At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers 	negative
367	Dilute profits per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 	negative
1455	Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense 	positive
874	In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn 	neutral
